experiment;len_T;len_V;max_id_rep;max_V_match_fraction;T_path;V_path;len_IDs_T;len_IDs_V;priority_function;attack_name;query_budget;len_pos_true;len_neg_true;time_all;len_pos_recovered;len_neg_recovered;num_queries;success
T1300V1000_1.0;1300;1000;2;1.0;experiment_data/medium/T1300V1000_1.0_T.csv;experiment_data/medium/T1300V1000_1.0_V.csv;4620;3784;positive;MKPSI;1300;3318;1302;[24205485, 20731726, 19747624, 24295025, 19795585, 18468361, 21784518, 17240576, 21193581, 16348645, 15787849, 24417227, 14928450, 15124542, 17024525, 16832211, 14754087, 16284645, 15477646, 15265644, 17719251, 15651408, 17799702, 26634143, 15304954, 15988242, 20450953, 15905811, 20492993, 22753719, 18194756, 16405867, 16205614, 16831802, 14832089, 18368058, 21350643, 19742935, 18472190, 16762271, 15139682, 18431810, 22969051, 16554339, 17572249, 15556457, 17184785, 15735949, 18566601, 14987152];[3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318, 3318];[1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T1200V1000_0.0;1200;1000;2;0.0;experiment_data/medium/T1200V1000_0.0_T.csv;experiment_data/medium/T1200V1000_0.0_V.csv;4392;2665;positive;MKPSI;1200;0;4392;[24522609, 23643748, 27380212, 24982054, 24205366, 27150418, 22694118, 25398490, 26411160, 26885445, 25810043, 23812822, 25768953, 21736477, 27386851, 26468221, 21060489, 26381210, 25408399, 21299362, 24876372, 26358650, 25284137, 23380005, 26119337, 19539492, 24804782, 27674554, 19520321, 26167288, 24660230, 20937398, 27488972, 23239305, 23354685, 25248036, 22795029, 25112036, 26920446, 25919754, 21604786, 25652682, 25723922, 20609414, 27769546, 23496238, 22427525, 23810540, 26698154, 26286469];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392, 4392];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T1400V1000_0.0;1400;1000;2;0.0;experiment_data/medium/T1400V1000_0.0_T.csv;experiment_data/medium/T1400V1000_0.0_V.csv;5108;2675;positive;MKPSI;1400;0;5108;[17321387, 19299069, 17062434, 18929104, 18273858, 22340363, 24186425, 23714949, 24678400, 18341208, 24164384, 18378559, 18095545, 22615677, 22516876, 18843235, 19352860, 20252430, 17719232, 25152355, 17263166, 19289089, 23059323, 17399588, 28949399, 18754584, 19385800, 17933684, 17076884, 19266749, 18060826, 22700888, 17669050, 24130755, 20678115, 19986458, 17551120, 21781858, 19394820, 18616312, 19813456, 18403309, 20778655, 23444987, 18077045, 20309411, 18082866, 19361980, 22090631, 22965952];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108, 5108];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T500V1000_0.0;500;1000;2;0.0;experiment_data/medium/T500V1000_0.0_T.csv;experiment_data/medium/T500V1000_0.0_V.csv;1852;2666;positive;MKPSI;500;0;1852;[9531869, 9210695, 8994172, 10169545, 10038885, 9779492, 8538298, 9856982, 9553428, 5994298, 9895572, 10371198, 9764231, 9498568, 7896100, 10191675, 9072543, 9756061, 8753790, 10163017, 10627710, 10047374, 7914469, 9521078, 10372498, 7860529, 8111942, 8113773, 11241907, 9149194, 6266391, 10073675, 9220194, 9855713, 9205704, 7999220, 10534200, 9985443, 9538569, 8218554, 9658830, 10085714, 8880611, 7941441, 10182656, 10261886, 5512113, 9582148, 8260783, 10192095];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852, 1852];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T600V1000_1.0;600;1000;2;1.0;experiment_data/medium/T600V1000_1.0_T.csv;experiment_data/medium/T600V1000_1.0_V.csv;2206;3210;positive;MKPSI;600;1604;602;[6121659, 6233821, 5904867, 6061878, 5812806, 5851696, 5763535, 5791836, 5825177, 5923377, 6413794, 5920687, 5806037, 5774265, 5860496, 5770465, 5746435, 6010738, 6046518, 5773076, 6274742, 5729185, 5798016, 5764276, 6538793, 5763285, 5863706, 5876626, 5798737, 5762626, 5741255, 5786306, 5829826, 6624087, 6020828, 5765475, 6583284, 5808115, 5821137, 5798866, 6217191, 5970318, 5770805, 5798265, 5773706, 5833616, 5728395, 5926478, 5944118, 5825026];[1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604];[602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T700V1000_0.0;700;1000;2;0.0;experiment_data/medium/T700V1000_0.0_T.csv;experiment_data/medium/T700V1000_0.0_V.csv;2576;2713;positive;MKPSI;700;0;2576;[6799588, 6970928, 6810687, 6626035, 6930619, 6942269, 6768157, 6681316, 7042520, 6754648, 6739426, 6719317, 6787217, 8838731, 6922230, 6677806, 6700987, 6688576, 6723786, 6959999, 6779147, 6926909, 6758358, 6652745, 6714257, 6968039, 6901679, 6725377, 6764797, 6696097, 6647905, 6634786, 6768707, 6673606, 6671857, 6682116, 6752207, 8665699, 7303085, 6781617, 6701476, 6691087, 6672576, 6888578, 6833967, 6938639, 6661005, 6652526, 6877248, 6665085];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576, 2576];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T500V1000_0.1;500;1000;2;0.1;experiment_data/medium/T500V1000_0.1_T.csv;experiment_data/medium/T500V1000_0.1_V.csv;1831;2714;positive;MKPSI;500;141;1690;[191162053, 162055892, 153747659, 161836889, 159402734, 152801966, 137945702, 120886950, 124470203, 124224792, 123256092, 121808990, 119840459, 124985379, 117206278, 122435546, 123323206, 117964809, 118767238, 123639923, 124923090, 115037729, 118051207, 119756611, 119650351, 120972975, 123242712, 116970389, 120845234, 120813996, 116516279, 118638925, 129498865, 115763618, 121451770, 120833043, 123488791, 122507221, 122963663, 119708722, 115387116, 120859535, 119342758, 112877325, 124888843, 122730835, 122197995, 112380164, 120853278, 116606863];[141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141, 141];[1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690, 1690];[216, 205, 216, 218, 212, 204, 216, 213, 223, 219, 219, 215, 213, 222, 209, 218, 219, 211, 213, 221, 225, 205, 211, 214, 214, 214, 219, 205, 216, 216, 206, 212, 231, 206, 217, 217, 219, 220, 220, 215, 206, 216, 213, 200, 222, 219, 218, 200, 214, 208];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T1200V1000_0.1;1200;1000;2;0.1;experiment_data/medium/T1200V1000_0.1_T.csv;experiment_data/medium/T1200V1000_0.1_V.csv;4417;2740;positive;MKPSI;1200;316;4101;[424853595, 435796555, 453415222, 457080654, 425622229, 445894520, 446258298, 433551598, 445968261, 456459353, 459910520, 446562017, 437360636, 425527596, 452656768, 445935342, 467643598, 409964677, 329866241, 272875154, 261606535, 268091288, 272775169, 262424469, 267988132, 254608073, 260942405, 259655185, 258030557, 266646991, 252288919, 259014182, 249783023, 260249218, 250266408, 246940112, 254325108, 260082202, 255780868, 257042751, 264576195, 254235600, 262328642, 251803838, 249419529, 267662256, 253581930, 248755675, 249001905, 254388678];[316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316];[4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101, 4101];[433, 449, 463, 463, 433, 450, 446, 439, 454, 470, 466, 461, 438, 429, 466, 443, 461, 453, 460, 466, 459, 459, 466, 457, 474, 450, 461, 453, 461, 474, 446, 455, 443, 464, 438, 430, 447, 453, 452, 451, 466, 446, 464, 445, 442, 473, 441, 440, 442, 451];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T500V1000_0.7;500;1000;2;0.7;experiment_data/medium/T500V1000_0.7_T.csv;experiment_data/medium/T500V1000_0.7_V.csv;1839;2995;positive;MKPSI;500;936;903;[270711083, 238944539, 233187258, 237317348, 207032875, 182539251, 183134581, 176084450, 180000161, 181331799, 190285569, 179096768, 179844486, 185562986, 182271294, 180101608, 179847514, 182550294, 180855947, 183308039, 182342525, 180714581, 178884289, 175848040, 184341974, 175702076, 182243649, 183219642, 182863345, 184328467, 178443527, 181691074, 169813656, 182846354, 175204178, 179619205, 181471100, 180522899, 184856290, 179311464, 174718850, 187535289, 183974455, 186438162, 184741955, 177133634, 176238102, 170153827, 183348219, 173299055];[936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936, 936];[903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903, 903];[323, 344, 329, 341, 345, 338, 337, 323, 329, 335, 351, 330, 331, 341, 336, 334, 336, 339, 335, 341, 339, 336, 332, 326, 341, 328, 336, 339, 337, 342, 330, 338, 316, 343, 327, 335, 338, 338, 346, 330, 326, 348, 342, 347, 343, 328, 326, 317, 343, 323];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
T700V1000_0.1;700;1000;2;0.1;experiment_data/medium/T700V1000_0.1_T.csv;experiment_data/medium/T700V1000_0.1_V.csv;2568;2750;positive;MKPSI;700;195;2373;[151617940, 159061955, 156979233, 154886199, 154237712, 158523803, 157153150, 152921902, 149314547, 155877835, 150551136, 155415625, 149476220, 156169743, 153357147, 153341153, 156660955, 150327301, 159475534, 153852451, 152300895, 145694530, 148871357, 149896720, 158070160, 157605538, 156542728, 156134976, 152119152, 151874740, 159153777, 147188084, 157262018, 148267080, 160946117, 159588698, 157675012, 155060112, 157663777, 160978875, 150108162, 162948388, 157708728, 153346302, 159328860, 152763637, 149006256, 151837914, 150551571, 149500230];[195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195];[2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373, 2373];[265, 281, 286, 282, 280, 290, 286, 280, 271, 286, 274, 283, 272, 286, 280, 280, 286, 274, 290, 280, 277, 263, 270, 272, 289, 289, 288, 285, 276, 276, 292, 266, 286, 270, 294, 293, 288, 282, 287, 295, 273, 299, 288, 280, 289, 279, 270, 276, 273, 271];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
