experiment;len_T;len_V;max_V_match_fraction;len_pos_true;len_neg_true;time_all;attack_name;success;len_pos_recovered;len_neg_recovered
T50000V100000_0.0;50000;100000;0.0;0;50000;[9788902, 11799294, 9779891, 13135819, 9736161, 11817294, 13542014, 14267042, 9733670, 11015646, 12548712, 11047245, 10300907, 10984145, 13355672, 11773554, 12538293, 11517432, 10810143, 48878845, 13152071, 12715625, 10879394, 14604886, 14032869, 12564212, 12982987, 11925015, 11148007, 11508221, 9778711, 16194194, 12993009, 10565689, 14743538, 11965546, 13058390, 11534830, 11158777, 10916794, 13680036, 14623306, 11095366, 11358139, 12346221, 12409590, 9271035, 12682454, 11844365, 11275178];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000]
T60000V100000_0.0;60000;100000;0.0;0;60000;[10490749, 12623444, 13281442, 11560531, 15170592, 16280585, 16177744, 12436141, 10429848, 11173607, 12648344, 13892507, 14788448, 14787957, 14587236, 13670445, 9927634, 12553302, 15670589, 44564216, 18006385, 17129844, 13365663, 10744643, 15263624, 13004328, 15165172, 16064162, 14199922, 12530142, 11044825, 13537843, 12341771, 15862671, 12648114, 17832483, 16368456, 13258361, 11002115, 11121045, 15212352, 14003729, 14272332, 12841206, 12639914, 12256489, 11196097, 14866129, 16587789, 12675424];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000]
T70000V100000_0.0;70000;100000;0.0;0;70000;[11015496, 11926956, 13581744, 14925789, 14477064, 12806266, 14382653, 13727837, 11604322, 15236903, 13286711, 13906009, 10493690, 12686455, 17501240, 16013262, 14438874, 15208522, 16364936, 49580812, 13848177, 11795325, 14459184, 16801592, 12305800, 14547887, 12256539, 12325071, 14148891, 13305501, 13254320, 12851635, 14624465, 14308472, 17098854, 15599797, 15389905, 11710634, 10078474, 13535145, 14167891, 14466284, 14033809, 12408231, 16094823, 13025469, 12901666, 13663396, 10515970, 11394560];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000]
T80000V100000_0.0;80000;100000;0.0;0;80000;[13574894, 16182213, 13500574, 17093185, 16176793, 16132182, 14246252, 14245112, 13926578, 13778565, 14850569, 15182393, 17972004, 18916486, 16770520, 16069213, 13267489, 14843269, 18878024, 59078832, 20305760, 17139866, 17861273, 15962761, 14047329, 13206730, 16679529, 16663999, 14381793, 16045922, 15630059, 15806880, 13363232, 14544656, 13477223, 13805988, 16775090, 15469526, 14800968, 18780294, 13656425, 13025968, 14213982, 15068642, 15251574, 14775038, 15236053, 15472546, 14958860, 14070430];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000]
T90000V100000_0.0;90000;100000;0.0;0;90000;[12528722, 19622674, 17082443, 15127043, 13032739, 14349893, 15769369, 19248269, 16434946, 16077432, 20468482, 16410537, 14497705, 14392124, 17026643, 18131986, 16740320, 15981153, 15884231, 50482774, 12752684, 16654889, 20671295, 16975352, 13268660, 14284562, 14786668, 15185582, 17780572, 17460088, 15390185, 19191408, 15158322, 17662871, 17308497, 15902130, 11063306, 13361641, 19618223, 18242288, 16821662, 17624359, 15483676, 17696741, 18331479, 17593429, 14093901, 14675958, 17099783, 14587276];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000]
T100000V100000_0.0;100000;100000;0.0;0;100000;[15697098, 16670369, 15580627, 19045806, 21166320, 19875266, 19539902, 20082328, 21364962, 19622203, 21920959, 18362178, 16393666, 20310860, 19022036, 18089367, 21376233, 20922798, 19424631, 52964362, 19788774, 20709756, 21575646, 20166189, 17983365, 20374801, 20195649, 18368269, 23047242, 21342723, 16194813, 17358607, 21068309, 22715627, 24329277, 19870396, 18660672, 22078320, 18015926, 15993912, 19300089, 19678852, 19206088, 17569280, 18523240, 17891793, 20274610, 24574119, 20913498, 18134097];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]
T110000V100000_0.0;110000;100000;0.0;0;110000;[21338222, 20528104, 18375619, 19757474, 18615371, 17296556, 23056272, 21313892, 21373623, 21624416, 20485014, 23176223, 21644836, 17078594, 19439151, 16632828, 21732977, 23579509, 20429472, 68880553, 24204606, 18920165, 20370491, 18663712, 17270547, 19628012, 19739165, 20820537, 18575331, 22571027, 24142144, 25122385, 21418513, 21704317, 16687321, 19157947, 24178545, 21831759, 17690600, 17267727, 18195466, 19731484, 19761685, 21583215, 20628835, 22399494, 22510706, 23887162, 24271045, 21501334];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000, 110000]
T130000V100000_0.0;130000;100000;0.0;0;130000;[19095796, 20137389, 20078758, 19539322, 23171773, 21323373, 23607768, 17695740, 18117435, 20409092, 19338359, 22264333, 23246324, 25057705, 24860771, 20913367, 22944030, 20558074, 20759546, 65369573, 21865849, 20434412, 23242684, 20083557, 21085450, 21319433, 21111310, 17635660, 19613962, 20110479, 21253642, 23363435, 20215080, 20837017, 18628992, 18697982, 20094509, 18561041, 20929679, 22878320, 24208824, 27890317, 23534817, 23449196, 22914540, 22656598, 24964144, 21456324, 20954308, 22434174];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000, 130000]
T120000V100000_0.0;120000;100000;0.0;0;120000;[22056311, 19064948, 22389895, 21043430, 21077020, 19379571, 20987248, 22393286, 25366159, 20124449, 22044251, 20342742, 18226587, 20596903, 19234049, 21192491, 20592465, 22294813, 21004569, 60160394, 22842000, 19780405, 25635200, 18972285, 16169644, 19043967, 23790600, 22901730, 25497979, 26922726, 24615008, 17251625, 20159639, 22487866, 20486444, 19452641, 20281601, 21233082, 23979462, 24441127, 24987053, 22209222, 22393585, 22981691, 21811138, 22757179, 21452645, 20812966, 20673485, 19365731];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000, 120000]
T140000V100000_0.0;140000;100000;0.0;0;140000;[20443423, 18144146, 17117414, 15704029, 16488648, 18433429, 18420829, 19615303, 17568420, 22311804, 19512691, 21944169, 22411825, 22837020, 20036768, 19857656, 21721057, 20904777, 19916266, 66089761, 19923957, 17447838, 21455103, 23361685, 19306281, 20262960, 19584694, 18433369, 16477458, 17398758, 19019096, 16402656, 19372190, 21689095, 18789624, 21072359, 22791589, 21564076, 22560097, 22338403, 21979911, 21353742, 21275431, 21627256, 21108371, 21115729, 20292580, 19402420, 17249246, 17950574];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000, 140000]
