experiment;len_T;len_V;max_id_rep;max_V_match_fraction;T_path;V_path;len_IDs_T;len_IDs_V;attack_name;num_queries;time_all;time_encode;time_reconstruct;time_subst
T1200V1000_0.7;1200;1000;2;0.7;experiment_data/medium/T1200V1000_0.7_T.csv;experiment_data/medium/T1200V1000_0.7_V.csv;4417;3407;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[38236964, 40813803, 45115173, 40074227, 38249124, 41227707, 40293067, 40068285, 41825695, 41281348, 41577294, 37595597, 37642969, 37716219, 39963054, 39584129, 44277464, 43520665, 41590733, 43496585, 42952948, 35595084, 43088971, 43794888, 41084398, 40070046, 37536295, 37779339, 34958757, 43818539, 40875644, 39908483, 43868479, 44885990, 34262300, 37872470, 46509829, 44083272, 39154074, 38135923, 33544093, 44328743, 41819116, 40145066, 40409299, 42053527, 43561104, 39247896, 40131036, 37905000];[2584609, 2536059, 2800432, 2769232, 2680831, 2656960, 2651570, 2488208, 2648830, 2644759, 2827232, 2772081, 2609320, 2469448, 3273737, 2689170, 2374547, 2679481, 2410748, 2692791, 2841952, 2696441, 2602830, 2558529, 2701501, 2838303, 2453668, 2755801, 2521768, 2514739, 2590809, 2721061, 2455658, 2702491, 2603560, 2660520, 2490298, 2693201, 2872392, 2629830, 2407758, 2647940, 2640290, 2728801, 2629049, 2343846, 2564649, 2698841, 2667050, 2487078];[33814554, 36545705, 40629172, 35315332, 33582201, 36568475, 35761656, 35671915, 37381405, 36928729, 36618907, 33056796, 33420520, 33716133, 33950656, 35883238, 40165067, 39279706, 37539786, 38919432, 38230565, 31264465, 38751471, 39496459, 36932750, 35680805, 33431099, 33417289, 31047543, 39230146, 36597356, 35370102, 39578430, 38446547, 29821069, 33624922, 41997928, 39516740, 34531602, 33982456, 29807209, 39985264, 37103732, 35471863, 36034940, 37668478, 38990083, 34416991, 35518783, 33361669];[1837801, 1732039, 1685569, 1989663, 1986092, 2002272, 1879841, 1908162, 1795460, 1707860, 2131155, 1766720, 1613129, 1530638, 2738661, 1011721, 1737850, 1561478, 1640199, 1884362, 1880431, 1634178, 1734670, 1739900, 1450147, 1550938, 1651528, 1606249, 1389446, 2073654, 1687479, 1817320, 1834391, 3736952, 1837671, 1587028, 2021603, 1873331, 1750080, 1523637, 1329126, 1695539, 2075094, 1944402, 1745310, 2041203, 2006372, 2132064, 1945203, 2056253]
T1300V1000_0.3;1300;1000;2;0.3;experiment_data/medium/T1300V1000_0.3_T.csv;experiment_data/medium/T1300V1000_0.3_V.csv;4759;3006;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[44375594, 43514205, 40639921, 46451438, 44071812, 42145939, 43489244, 41655174, 39239836, 43062009, 46538139, 42119579, 45548098, 46541839, 47287237, 46695181, 45550989, 43347310, 48554132, 45729309, 40799902, 45467468, 45225044, 44386684, 46407527, 46915953, 47465340, 45737690, 42662374, 44338114, 47678732, 44603418, 41611894, 43342045, 47667831, 45278095, 45402325, 46823073, 51040448, 41485003, 44730449, 47990366, 47839064, 46308137, 43951710, 45314615, 46350147, 49801716, 45464507, 45292774];[2939653, 2857363, 2941923, 2774661, 2677741, 2697321, 2683300, 2719361, 2461358, 2690960, 2808672, 2770702, 2820272, 2639170, 3089495, 2781702, 2619100, 2884052, 2802292, 2844892, 2767951, 2669541, 2687721, 2692690, 2694370, 2732151, 3015655, 2806062, 2696330, 2736031, 2851882, 2857033, 2756932, 2717202, 2424077, 2663560, 2784921, 2904384, 2927163, 2574690, 2619200, 2721081, 2641510, 2667501, 2677941, 2575459, 2596029, 2561299, 2789512, 2812312];[37294924, 39321787, 36089160, 38911132, 39926214, 37741349, 39458279, 37862381, 35225081, 38965973, 42243741, 37724499, 41129728, 42276560, 42512603, 42409322, 41294920, 38705589, 44047201, 41293459, 36592385, 41441681, 41170068, 40013664, 42139949, 42377522, 42895817, 41383781, 38755680, 40294758, 43072120, 39961335, 37540027, 39426909, 43712357, 40981916, 40859884, 42159129, 38966522, 37636108, 40485480, 42009498, 43277542, 42092228, 37551386, 41176638, 42122809, 42936078, 40924405, 40646831];[4141017, 1335055, 1608838, 4765645, 1467857, 1707269, 1347665, 1073432, 1553397, 1405076, 1485726, 1624378, 1598098, 1626109, 1685139, 1504157, 1636969, 1757669, 1704639, 1590958, 1439566, 1356246, 1367255, 1680330, 1573208, 1806280, 1553868, 1547847, 1210364, 1307325, 1754730, 1785050, 1314935, 1197934, 1531397, 1632619, 1757520, 1759560, 9146763, 1274205, 1625769, 3259787, 1920012, 1548408, 3722383, 1562518, 1631309, 4304339, 1750590, 1833631]
T1200V1000_0.0;1200;1000;2;0.0;experiment_data/medium/T1200V1000_0.0_T.csv;experiment_data/medium/T1200V1000_0.0_V.csv;4392;2665;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[35972589, 41429771, 45935712, 38004093, 43981219, 44210773, 43087670, 45491496, 43549125, 48266418, 46018093, 46282656, 44564787, 37781569, 47271468, 42555144, 46176205, 45491176, 47554140, 47923304, 46517057, 46721591, 47015274, 46713221, 45356267, 45496007, 46836112, 45927042, 39279726, 40939105, 47986735, 50535856, 48343149, 48200678, 43416384, 49618344, 47255106, 48550711, 47545650, 47273778, 44786209, 39964404, 44871700, 44641967, 46460308, 40284588, 41197639, 49485033, 47314688, 43529254];[2838932, 2491949, 2810192, 2972334, 3032984, 2914023, 2833992, 3142045, 3038215, 3122735, 2793772, 2804842, 3466709, 2867902, 2850542, 2564469, 3152176, 2909963, 2478848, 2976183, 3212706, 3106725, 2906162, 3174386, 2735522, 2899093, 2738491, 2904643, 3005904, 2843742, 2463397, 2552660, 3276208, 3327768, 3338768, 2879913, 2758381, 2763221, 3113175, 3476810, 2972474, 2579759, 2677450, 2581939, 2926663, 3170406, 3013644, 2553479, 2903723, 2831912];[31992164, 37677438, 42177689, 33666053, 39407618, 39979585, 38667500, 40948745, 39115454, 43962079, 42081928, 41884316, 39548490, 33713893, 40892555, 38639820, 41706054, 41266649, 43780077, 43590236, 41898866, 42476953, 42720756, 42451733, 41222339, 41311019, 42553384, 41427441, 34938537, 36896100, 44090941, 46287146, 43437583, 37923701, 38641160, 45276214, 43108730, 44261063, 42752226, 42157669, 40348689, 36224312, 40827204, 40633622, 41615503, 35772397, 37038322, 45360526, 42851867, 39280036];[1141493, 1260384, 947831, 1365706, 1540617, 1317165, 1586178, 1400706, 1395456, 1181604, 1142393, 1593498, 1549588, 1199774, 3528371, 1350855, 1317975, 1314564, 1295215, 1356885, 1405485, 1137913, 1388356, 1087102, 1398406, 1285895, 1544237, 1594958, 1335285, 1199263, 1432397, 1696050, 1629358, 6949209, 1436456, 1462217, 1387995, 1526427, 1680249, 1639299, 1465046, 1160333, 1367046, 1426406, 1918142, 1341785, 1145673, 1571028, 1559098, 1417306]
T1300V1000_1.0;1300;1000;2;1.0;experiment_data/medium/T1300V1000_1.0_T.csv;experiment_data/medium/T1300V1000_1.0_V.csv;4620;3784;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[43328863, 40965666, 41623093, 44501186, 39156835, 40588141, 44681767, 46443267, 43401425, 45633379, 42551044, 40784294, 45445697, 44968442, 38150933, 45769691, 45047231, 34604254, 41827085, 46093933, 44191873, 46907761, 42499444, 46866643, 42911388, 40944766, 40010725, 44186303, 44671568, 42771466, 42494184, 45121894, 49150319, 48021876, 47701702, 41571982, 41189869, 42576254, 45238135, 45995362, 45405187, 48056386, 44953060, 44127492, 48934927, 46452998, 47687462, 47109275, 45520298, 47798644];[2890743, 2999914, 2833432, 2872893, 2758631, 3121276, 2878373, 2942733, 2800703, 2732691, 2847163, 2821932, 2951894, 2869083, 2849532, 2935264, 2838452, 2766081, 2859872, 2781271, 2665471, 2895262, 2751642, 2853193, 2848053, 2855573, 3052695, 2791402, 2595280, 3263337, 3070245, 2586280, 2691611, 2562609, 2856992, 3101435, 2828863, 2903173, 2834573, 2602399, 2634970, 2646810, 2830372, 2878403, 2500609, 2707121, 2760761, 2882462, 2913664, 2758132];[34848976, 35919438, 36680717, 36346203, 34029977, 35348521, 39537549, 41466351, 38544338, 40665642, 37332964, 35911979, 40331728, 39563970, 33261958, 40670453, 39771672, 29886180, 36908569, 41417591, 39161355, 41565042, 37747689, 41954037, 37823670, 35893948, 35001098, 39370118, 39955714, 37572387, 37912471, 40633832, 44077861, 43038559, 42223870, 36401733, 36158621, 37465406, 36083270, 41441551, 40630162, 40760553, 39656080, 39181165, 42384142, 41772735, 42467013, 38961843, 40627742, 42500052];[5589144, 2046314, 2108944, 5282090, 2368227, 2118344, 2265845, 2034183, 2056384, 2235046, 2370917, 2050383, 2162075, 2535389, 2039443, 2163974, 2437107, 1951993, 2058644, 1895071, 2365047, 2447457, 2000113, 2059413, 2239665, 2195245, 1956932, 2024783, 2120574, 1935742, 1511468, 1901782, 2380847, 2420708, 2620840, 2068814, 2202385, 2207675, 6320292, 1951412, 2140055, 4649023, 2466608, 2067924, 4050176, 1973142, 2459688, 5264970, 1978892, 2540460]
T1400V1000_0.6;1400;1000;2;0.6;experiment_data/medium/T1400V1000_0.6_T.csv;experiment_data/medium/T1400V1000_0.6_V.csv;5122;3411;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[40544601, 40408919, 46653820, 41043047, 41849015, 45751600, 50403273, 45543718, 44791769, 54286567, 49326010, 49195439, 49807436, 46478018, 48099737, 50828797, 48110387, 47371018, 53021772, 47052204, 47894714, 54111115, 55382279, 44877510, 45096332, 45209874, 43392083, 48167028, 50448853, 48866656, 50572955, 47328238, 47288517, 50379203, 48360149, 45175893, 41700344, 43558505, 48847017, 48487281, 49409931, 51524766, 46959463, 49717784, 51987541, 47656691, 46700811, 46906883, 47703842, 46537970];[3001494, 3043344, 2887093, 2875173, 2983603, 2938064, 3022124, 3186736, 3020734, 3001624, 2801221, 3106865, 3249617, 2774541, 2940324, 2834852, 2929244, 3209057, 3080955, 2918723, 3089255, 3030155, 5988848, 2995234, 3012744, 2808722, 2742491, 3053415, 3142615, 3197947, 3142516, 3382809, 3292757, 3154486, 3327627, 3225096, 3224827, 3158526, 2911514, 3132916, 3257917, 3329018, 3442159, 3501400, 3320188, 3147806, 3163256, 3174376, 3338058, 3286358];[36087681, 35903249, 41998027, 36503895, 36898289, 40524130, 42030028, 40628162, 40002955, 45240405, 44640307, 44282144, 42839547, 42080428, 43557645, 43964289, 43428473, 42179879, 43740967, 42354951, 42964368, 45432476, 47488500, 39821582, 40223407, 40702393, 39065264, 43161160, 45227104, 43267632, 45174463, 41836415, 41637904, 45191784, 43036799, 40091516, 36837368, 38677270, 44056421, 43657076, 44242132, 46141025, 41565322, 44185092, 46744921, 42827906, 41805515, 41815275, 42564364, 41443651];[1455426, 1462326, 1768700, 1663979, 1967123, 2289406, 5351121, 1728820, 1768080, 6044538, 1884482, 1806430, 3718272, 1623049, 1601768, 4029656, 1752670, 1982082, 6199850, 1778530, 1841091, 5648484, 1904931, 2060694, 1860181, 1698759, 1584328, 1952453, 2079134, 2401077, 2255976, 2109014, 2357856, 2032933, 1995723, 1859281, 1638149, 1722709, 1879082, 1697289, 1909882, 2054723, 1951982, 2031292, 1922432, 1680979, 1732040, 1917232, 1801420, 1807961]
T1400V1000_0.0;1400;1000;2;0.0;experiment_data/medium/T1400V1000_0.0_T.csv;experiment_data/medium/T1400V1000_0.0_V.csv;5108;2675;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[39296787, 35276251, 47316398, 43158021, 37486686, 40103776, 37798289, 36504986, 44565387, 35978059, 37706688, 40167416, 37863409, 38099353, 39220085, 36472155, 37214573, 45167604, 38534947, 39167644, 36416213, 47167197, 39447999, 47255736, 46084854, 45483628, 37518548, 37020440, 38637619, 37621436, 45904311, 38226294, 39241106, 45497757, 36951799, 46277455, 39596821, 38872452, 41569553, 43659327, 40366440, 42721417, 37251364, 38788280, 41782965, 38165544, 39574150, 47353948, 37478936, 38840821];[2712231, 2966824, 2754861, 2895533, 3116025, 2966724, 2919853, 2841693, 2995514, 2952024, 2957044, 2983164, 2817211, 2866603, 2943233, 3329548, 2853872, 3070125, 3059704, 3019714, 2947873, 2733841, 3049815, 3063474, 2977604, 2979544, 3097586, 3048494, 2969184, 3107955, 2998864, 2903643, 3027584, 3165976, 3122105, 2791841, 3057555, 2969914, 2966684, 3107855, 2982654, 3045465, 3044095, 3059284, 2951644, 3044355, 3020785, 2996974, 3031824, 3038154];[35624105, 31476858, 34028217, 38994793, 33435760, 33749334, 33887335, 32725752, 38124514, 32045334, 33830084, 33872425, 34174108, 34289249, 33098116, 32336748, 33498491, 37778960, 34582503, 35204320, 32516589, 42983309, 35290561, 42812307, 41928927, 41258169, 33525812, 33054376, 34656234, 33566041, 41767074, 34176378, 35144189, 41044406, 32919044, 42272610, 35571325, 34875216, 37453776, 39212106, 36108671, 38657270, 33217588, 34802925, 37798939, 34074867, 35574104, 43015688, 33471601, 34763475];[960451, 832569, 10533320, 1267695, 934901, 3387718, 991101, 937541, 3445359, 980701, 919560, 3311827, 872090, 943501, 3178736, 805859, 862210, 4318519, 892740, 943610, 951751, 1450047, 1107623, 1379955, 1178323, 1245915, 895150, 917570, 1012201, 947440, 1138373, 1146273, 1069333, 1287375, 910650, 1213004, 967941, 1027322, 1149093, 1339366, 1275115, 1018682, 989681, 926071, 1032382, 1046322, 979261, 1341286, 975511, 1039192]
T1200V1000_0.1;1200;1000;2;0.1;experiment_data/medium/T1200V1000_0.1_T.csv;experiment_data/medium/T1200V1000_0.1_V.csv;4417;2740;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[44301702, 38786431, 41565622, 49792386, 40513350, 42473583, 46484551, 41918867, 45408516, 43656534, 46595371, 42112109, 46390907, 45614169, 36500415, 48275859, 42406032, 56901508, 44769140, 41871896, 45122473, 44524047, 47036784, 46265355, 44201484, 44252174, 42166260, 50746477, 45696159, 47121506, 44076341, 45590219, 39999185, 46494758, 50445205, 38049952, 55975295, 46102304, 41612124, 44335783, 45477996, 47126966, 43051600, 42638945, 44829828, 43893338, 46354176, 46363516, 47992486, 42623144];[2363616, 3094825, 3126815, 2542489, 3076155, 2878313, 2637181, 2861753, 3176016, 2525358, 2915783, 3175166, 2545539, 3289668, 3092195, 2633470, 2654110, 2759962, 2822793, 2788952, 2952044, 2966634, 3036534, 2726941, 2884723, 2876793, 2782052, 2807772, 3069495, 2814552, 2917693, 2673921, 2951814, 2925923, 2781392, 3046094, 2818462, 2579469, 2881502, 2958683, 2871392, 3106576, 2877263, 2813733, 2833822, 2830662, 2678920, 2569999, 2930614, 2939523];[40272427, 34455681, 36972430, 45813141, 35806667, 38213534, 42170610, 37511537, 37309464, 39604699, 42233011, 37689178, 42070358, 40690383, 32272527, 44420835, 38376816, 52597958, 40445339, 37663208, 40536601, 39832243, 42524333, 41997717, 39629931, 39835963, 37913151, 40891595, 41083107, 42653875, 39758943, 41454711, 35575325, 41915157, 46019484, 33544621, 51674277, 41821596, 37135653, 39816482, 40950825, 42440022, 38721780, 38303665, 40515840, 39597870, 39894833, 42154359, 43543535, 38051113];[1665659, 1235925, 1466377, 1436756, 1630528, 1381736, 1676760, 1545577, 4923036, 1526477, 1446577, 1247765, 1775010, 1634118, 1135693, 1221554, 1375106, 1543588, 1501008, 1419736, 1633828, 1725170, 1475917, 1540697, 1686830, 1539418, 1471057, 7047110, 1543557, 1653079, 1399705, 1461587, 1472046, 1653678, 1644329, 1459237, 1482556, 1701239, 1594969, 1560618, 1655779, 1580368, 1452557, 1521547, 1480166, 1464806, 3780423, 1639158, 1518337, 1632508]
T1400V1000_0.1;1400;1000;2;0.1;experiment_data/medium/T1400V1000_0.1_T.csv;experiment_data/medium/T1400V1000_0.1_V.csv;5120;2817;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[38853862, 36358283, 36985811, 36988050, 36959370, 38945552, 37210773, 37088003, 37105871, 36879559, 38359746, 45709969, 39584309, 39845783, 39171116, 38262615, 50241710, 46545430, 44517027, 48195578, 38363027, 37396405, 41362640, 37131182, 48149498, 46861612, 42118699, 37751129, 40247859, 38116504, 37180354, 39517989, 38944823, 48303909, 44292714, 39501609, 42728655, 38383997, 36959320, 36312343, 41197998, 41178658, 37586877, 45412195, 42663274, 39178486, 37770469, 41611504, 39349278, 38247124];[2870653, 3157606, 3071275, 3126245, 3119835, 2997074, 3062475, 3033915, 3023164, 3019674, 3187096, 2871843, 3304207, 3071235, 2817332, 3586371, 3121765, 3046555, 3034235, 3067915, 2940654, 3107895, 3095095, 2921393, 3014935, 3170905, 3077185, 3083875, 3073525, 3045915, 2846903, 3006265, 3481800, 3058505, 3027565, 3119985, 3053184, 2935394, 3024834, 3134046, 2847142, 3058455, 3092895, 3041614, 3024164, 3111356, 3177386, 3061905, 3050165, 2923753];[34947207, 32208736, 32929844, 32898894, 32849744, 34950067, 33068056, 33058946, 33058796, 32784333, 34314761, 41488391, 35114959, 35866448, 34700905, 33612232, 36422424, 41974487, 40284248, 41276339, 34306730, 33164377, 35061148, 33258218, 43617155, 38643610, 37987092, 33697233, 33883326, 34068067, 33387440, 33051145, 34444611, 43906879, 39836753, 35319102, 38616179, 34448331, 32865454, 32310987, 37259094, 37185203, 33491671, 41059396, 38571178, 34783326, 33601672, 37434836, 34927997, 34363350];[1036002, 991941, 984692, 962911, 989791, 998411, 1080242, 995142, 1023911, 1075552, 857889, 1349735, 1165143, 908100, 1652879, 1064012, 10697521, 1524388, 1198544, 3851324, 1115643, 1124133, 3206397, 951571, 1517408, 5047097, 1054422, 970021, 3291008, 1002522, 946011, 3460579, 1018412, 1338525, 1428396, 1062522, 1059292, 1000272, 1069032, 867310, 1091762, 935000, 1002311, 1311185, 1067932, 1283804, 991411, 1114763, 1371116, 960021]
T500V1000_0.0;500;1000;2;0.0;experiment_data/medium/T500V1000_0.0_T.csv;experiment_data/medium/T500V1000_0.0_V.csv;1852;2666;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[16353797, 15090801, 16357337, 15510606, 16341236, 14658487, 16432897, 16325526, 13319532, 16246145, 17204345, 11983826, 16077303, 15385986, 15972882, 16136773, 15045239, 15599197, 16357126, 16314855, 15238203, 15961622, 15721149, 23308053, 16215105, 13448162, 18010355, 17215357, 12116208, 15109293, 16714991, 14924210, 15253434, 15457145, 15811159, 17336788, 14501555, 14733649, 15930331, 16975154, 14923281, 15006321, 15428025, 16442768, 16949333, 15348354, 15006750, 17626701, 16162893, 14356324];[898911, 997291, 940940, 954031, 839200, 955691, 937431, 988721, 884920, 877200, 1068172, 985391, 899000, 942001, 922171, 959440, 923860, 920260, 926211, 908730, 982141, 972791, 924421, 926950, 915721, 1034562, 875550, 929141, 1031872, 836440, 977272, 970751, 916291, 916370, 980881, 923641, 952091, 903941, 873650, 931821, 989752, 992611, 829029, 955641, 944711, 946190, 944750, 898060, 910660, 957211];[14400564, 12791515, 14009930, 13391692, 14217092, 12552053, 14030859, 13928809, 11414290, 13937239, 14649156, 10217097, 13823188, 13180070, 13653855, 13859678, 12921666, 13312001, 13887248, 14223831, 12920627, 13826898, 13532984, 14653446, 13657715, 11420509, 14537265, 14925500, 10143145, 12422092, 14426874, 12904167, 12309710, 13456543, 13606815, 14339893, 12480152, 12776976, 13194270, 14774908, 12767245, 12322030, 13472843, 14280073, 14251982, 13347502, 13013218, 14578786, 14046859, 12290220];[1054322, 1301995, 1406467, 1164883, 1284944, 1150743, 1464607, 1407996, 1020322, 1431706, 1487017, 781338, 1355115, 1263915, 1396856, 1317655, 1199713, 1366936, 1543667, 1182294, 1335435, 1161933, 1263744, 7727657, 1641669, 993091, 2597540, 1360716, 941191, 1850761, 1310845, 1049292, 2027433, 1084232, 1223463, 2073254, 1069312, 1052732, 1862411, 1268425, 1166284, 1691680, 1126153, 1207054, 1752640, 1054662, 1048782, 2149855, 1205374, 1108893]
T500V1000_0.7;500;1000;2;0.7;experiment_data/medium/T500V1000_0.7_T.csv;experiment_data/medium/T500V1000_0.7_V.csv;1839;2995;RecordEnumeration;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[16773992, 13415533, 13938348, 16033753, 15411635, 14678548, 11765245, 16754760, 16284705, 13347291, 16025673, 12353570, 15150373, 15495787, 14312352, 16460397, 15157303, 16074981, 13760886, 14151041, 14934310, 17105626, 12086957, 17550249, 15683347, 17085915, 16842971, 11810024, 16949852, 16644339, 15668329, 12923857, 17136394, 17488589, 14477315, 13428124, 16581869, 16844441, 11814415, 16081222, 16750379, 17447168, 15819290, 15274374, 16864281, 13734626, 16850672, 15850280, 14222912, 13168289];[842320, 1000182, 978051, 882140, 932131, 1009682, 892211, 815689, 948261, 977401, 935471, 959541, 899211, 967651, 899500, 905040, 919521, 928340, 999371, 924951, 906040, 900071, 999031, 888040, 856549, 961391, 982951, 913090, 836209, 981581, 906731, 875160, 830170, 910721, 946371, 905681, 893180, 1002521, 973882, 817929, 941690, 824659, 948871, 878010, 938640, 905020, 874060, 984531, 901610, 888770];[14528825, 10976685, 11743264, 13663085, 13052878, 12160209, 9990184, 14253032, 13703296, 11286958, 13364252, 10309437, 12814916, 12834886, 12057717, 14090940, 12853717, 13272260, 11679213, 11685053, 12380461, 14467085, 10313277, 11472680, 13339812, 14387914, 13766476, 9838922, 14521985, 13522583, 13309601, 10906274, 14037599, 14793488, 11991747, 11054286, 13800277, 14410324, 9681690, 13672655, 14282462, 14355233, 13286181, 12841797, 13691215, 11543301, 14281663, 12824096, 12049137, 11229667];[1402847, 1438666, 1217033, 1488528, 1426626, 1508657, 882850, 1686039, 1633148, 1082932, 1725950, 1084592, 1436246, 1693250, 1355135, 1464417, 1384065, 1874381, 1082302, 1541037, 1647809, 1738470, 774649, 5189529, 1486986, 1736610, 2093544, 1058012, 1591658, 2140175, 1451997, 1142423, 2268625, 1784380, 1539197, 1468157, 1888412, 1431596, 1158843, 1590638, 1526227, 2267276, 1584238, 1554567, 2234426, 1286305, 1694949, 2041653, 1272165, 1049852]
