2026-06-21 23:11:05.206396: 	 core 0 starting
2026-06-21 23:11:05.213642: 	 core 1 starting
2026-06-21 23:11:05.220908: 	 core 2 starting
2026-06-21 23:11:05.231073: 	 core 3 starting
2026-06-21 23:11:05.236871: 	 core 4 starting
2026-06-21 23:11:05.248637: 	 core 5 starting
2026-06-21 23:11:05.257817: 	 core 6 starting
2026-06-21 23:11:05.266630: 	 core 7 starting
2026-06-21 23:11:05.276617: 	 core 8 starting
2026-06-21 23:11:05.285460: 	 core 9 starting
2026-06-21 23:11:05.295578: 	 core 10 starting
2026-06-21 23:11:05.305057: 	 core 11 starting
2026-06-21 23:11:05.310466: 	 core 12 starting
2026-06-21 23:11:05.317137: 	 core 13 starting
2026-06-21 23:11:05.329745: 	 core 14 starting
2026-06-21 23:11:05.337298: 	 core 15 starting
2026-06-21 23:19:05.390973: 	 core 1 done, runtime: 0:08:00.177267
2026-06-21 23:20:54.202563: 	 core 0 done, runtime: 0:09:48.996107
2026-06-21 23:21:55.154385: 	 core 4 done, runtime: 0:10:49.917423
2026-06-21 23:22:43.669917: 	 core 3 done, runtime: 0:11:38.438778
2026-06-21 23:24:05.704201: 	 core 6 done, runtime: 0:13:00.446317
2026-06-21 23:24:22.550631: 	 core 2 done, runtime: 0:13:17.329665
2026-06-21 23:25:19.845460: 	 core 9 done, runtime: 0:14:14.559939
2026-06-21 23:25:27.434614: 	 core 7 done, runtime: 0:14:22.167916
2026-06-21 23:26:17.135807: 	 core 12 done, runtime: 0:15:11.825272
2026-06-21 23:29:26.116447: 	 core 5 done, runtime: 0:18:20.867753
2026-06-21 23:31:04.950726: 	 core 10 done, runtime: 0:19:59.655082
2026-06-21 23:31:19.591711: 	 core 14 done, runtime: 0:20:14.261796
2026-06-21 23:32:00.791001: 	 core 11 done, runtime: 0:20:55.485699
2026-06-21 23:32:08.289565: 	 core 8 done, runtime: 0:21:03.012888
2026-06-21 23:36:52.017596: 	 core 13 done, runtime: 0:25:46.700401
2026-06-22 00:03:53.956509: 	 core 15 done, runtime: 0:52:48.619143
